num_of_li,poly_anion,chalcogen,anion_1,anion_2,x_in_a,chal_in_a,x_in_c,chal_in_c,energy(ev),erel(mev/atom),cage_size_x_in_a,cage_size_chal_in_a,cage_size_x_in_c,cage_size_chal_in_c,std_cage_size,avg_cage_size,volume,conductivity,conductivity_min,conductivity_max
28,Si,Se,Se,Cl,0.75,0.25,0.25,0.75,-216.8541407,3.352235385,2.724863748,2.725796081,2.570809796,2.658441676,0.063434066,2.669977825,1220.739546,121.941836,96.557339,153.999803
28,Si,Se,Se,Cl,0.5,0.5,0.5,0.5,-216.8448625,3.530662308,2.593540558,2.723154257,2.66236238,2.600632445,0.052502548,2.64492241,1219.743939,235.591067,194.647651,285.146778
28,Si,Se,Se,Cl,0.5,0.5,0.5,0.5,-216.6261006,7.737621923,2.606981721,2.706715213,2.692575914,2.685118317,0.038810779,2.672847791,1216.132169,173.534014,118.572464,253.971733
28,Si,Se,Se,Cl,0.25,0.75,0.75,0.25,-216.667795,6.935806731,2.54412882,2.66563897,2.608158132,2.615378538,0.043173548,2.608326115,1196.08563,64.306566,50.394864,82.058649
28,Si,Se,Se,Cl,0,1,1,0,-216.2577002,14.82224365,2.61746679,2.61746679,2.571013715,2.571013715,0.023226538,2.594240252,1192.199508,13.342363,7.526696,3.651634
28,Ge,Se,Se,Cl,1,0,0,1,-210.8010155,0,2.738720573,2.738720573,2.668554628,2.668554628,0.035082973,2.703637601,1266.375246,34.089904,29.0524,40.000879
28,Ge,Se,Se,Cl,0.75,0.25,0.25,0.75,-210.5094735,5.606576923,2.650775047,2.792773057,2.531010589,2.646601008,0.09279392,2.655289925,1251.365804,43.872883,22.345527,86.13938
28,Ge,Se,Se,Cl,0.5,0.5,0.5,0.5,-210.3140054,9.365579231,2.659318017,2.720567678,2.651122357,2.609428618,0.039702451,2.660109167,1260.551055,35.983831,23.688459,54.661052
28,Ge,Se,Se,Cl,0.5,0.5,0.5,0.5,-210.2090884,11.38321308,2.720118228,2.775281138,2.599875762,2.795035555,0.075976325,2.722577671,1250.733623,86.150712,48.64712,152.567
28,Ge,Se,Se,Cl,0.25,0.75,0.75,0.25,-210.2942213,9.746041154,2.594052215,2.623406333,2.713467971,2.775838877,0.072199847,2.676691349,1221.895316,9.728205,6.162664,15.356667
28,Ge,Se,Se,Cl,0,1,1,0,-209.5902339,23.28426115,2.624972199,2.624972199,2.584233794,2.584233794,0.020369202,2.604602996,1223.758959,3.343415,2.321536,4.815099
28,Ge,Te,Te,I,1,0,0,1,-185.8427536,0,2.998168056,2.998168056,2.859770628,2.859770628,0.069198714,2.928969342,1578.85298,55.81403,42.153205,73.901994
28,Ge,Te,Te,I,0.75,0.25,0.25,0.75,-185.3540413,9.398314808,3.008535236,3.044786479,3.033634111,2.894094351,0.059866862,2.995262544,1600.094563,202.751329,136.83231,300.426862
28,Ge,Te,Te,I,0.5,0.5,0.5,0.5,-185.2372397,11.64449904,2.962460546,2.867544906,2.906450883,2.857729799,0.041153938,2.898546533,1576.608598,183.002029,108.967912,307.335821
28,Ge,Te,Te,I,0.5,0.5,0.5,0.5,-185.1662951,13.00881885,2.964965216,2.842027201,2.894310328,2.865754518,0.046138769,2.891764316,1557.66648,140.300387,120.135687,163.849719
28,Ge,Te,Te,I,0.25,0.75,0.75,0.25,-185.1548493,13.22892981,2.824832351,2.878188828,3.016410175,2.938266363,0.071255332,2.914424429,1583.698174,155.861958,107.219484,226.57216
28,Ge,Te,Te,I,0,1,1,0,-185.7129014,2.497159423,2.851364727,2.851364727,2.916798246,2.916798246,0.03271676,2.884081486,1532.081422,6.862483,5.125676,9.187796
28,Sn,S,S,Cl,1,0,0,1,-224.267812,0,2.756700484,2.756700484,2.618745403,2.618745403,0.068977541,2.687722943,1167.459133,8.389468,5.256603,13.38948
28,Sn,S,S,Cl,0.75,0.25,0.25,0.75,-223.9448518,6.210773654,2.699517007,2.611156535,2.770920567,2.613355182,0.066467159,2.673737323,1189.798056,15.579492,9.260779,26.209521
28,Sn,S,S,Cl,0.5,0.5,0.5,0.5,-223.84532,8.124845962,2.425286879,2.5099279,2.490341933,2.5258403,0.038246079,2.487849253,1174.45778,1.086841,0.584436,2.021134
28,Sn,S,S,Cl,0.5,0.5,0.5,0.5,-223.544138,13.91680788,2.655413187,2.556567472,2.554953818,2.512039753,0.052586501,2.569743557,1200.041858,12.608715,6.878259,23.113362
28,Sn,S,S,Cl,0.25,0.75,0.75,0.25,-223.9353701,6.393113654,2.601518317,2.574754428,2.747190636,2.584922103,0.069991459,2.627096371,1180.179804,4.379674,3.260138,5.883661
28,Sn,S,S,Cl,0,1,1,0,-223.046542,23.48596212,2.519149067,2.519149067,2.614743843,2.614743843,0.047797388,2.566946455,1203.850658,9.980317,5.959983,16.712587
28,Si,Te,Te,I,1,0,0,1,-190.4681481,0,2.983324104,2.983324104,2.796155893,2.796155893,0.093584106,2.889739998,1612.726492,43.37865,26.790778,70.237127
