,composition,num_of_li,4b_1,4b_2,4b_3,4b_4,16e,4a_1,4a_2,4a_3,4a_4,4c_1,4c_2,4c_3,4c_4,volume,conductivity
113,Li24Te20P4Cl4,24,P,P,P,P,Te,Te,Te,Cl,Cl,Te,Te,Cl,Cl,1526.7076874705915,43.64219750351039
114,Li24Te20P4Cl4,24,P,P,P,P,Te,Te,Cl,Cl,Cl,Te,Te,Te,Cl,1622.274453249083,140.86797926506404
115,Li24Te20P4Cl4,24,P,P,P,P,Te,Cl,Cl,Cl,Cl,Te,Te,Te,Te,1652.2844512854526,17.96581656566861
116,Li28Si4S20Br4,28,Si,Si,Si,Si,S,S,S,S,S,Br,Br,Br,Br,1064.5123356567485,19.38832192309107
117,Li28Si4S20Br4,28,Si,Si,Si,Si,S,S,S,S,Br,S,Br,Br,Br,1053.1177764043653,51.09974058344756
118,Li28Si4S20Br4,28,Si,Si,Si,Si,S,S,S,Br,Br,S,S,Br,Br,1057.2044304117273,68.09444280122175
119,Li28Si4S20Br4,28,Si,Si,Si,Si,S,S,S,Br,Br,S,S,Br,Br,1071.094329576078,28.880479844857675
120,Li28Si4S20Br4,28,Si,Si,Si,Si,S,S,Br,Br,Br,S,S,S,Br,1077.5104397408065,15.421403921699845
121,Li28Si4S20Br4,28,Si,Si,Si,Si,S,Br,Br,Br,Br,S,S,S,S,1067.3771137753092,83.7377041657676
122,Li28Si4S20Cl4,28,Si,Si,Si,Si,S,S,S,S,S,Cl,Cl,Cl,Cl,1036.546556641351,69.0302629607925
123,Li28Si4S20Cl4,28,Si,Si,Si,Si,S,S,S,S,Cl,S,Cl,Cl,Cl,1025.70289191301,30.972715544228397
124,Li28Si4S20Cl4,28,Si,Si,Si,Si,S,S,S,Cl,Cl,S,S,Cl,Cl,1049.4653900102492,64.87510588075818
125,Li28Si4S20Cl4,28,Si,Si,Si,Si,S,S,S,Cl,Cl,S,S,Cl,Cl,1057.6872525102397,70.95719987549388
126,Li28Si4S20Cl4,28,Si,Si,Si,Si,S,S,Cl,Cl,Cl,S,S,S,Cl,1066.3704026466698,43.572966472142
127,Li28Si4S20Cl4,28,Si,Si,Si,Si,S,Cl,Cl,Cl,Cl,S,S,S,S,1067.8152595167542,40.199793600704695
128,Li28Si4S20I4,28,Si,Si,Si,Si,S,S,S,S,S,I,I,I,I,1112.6221304546268,46.88069036292621
129,Li28Si4S20I4,28,Si,Si,Si,Si,S,S,S,S,I,S,I,I,I,1089.917806575185,52.76370699128819
130,Li28Si4S20I4,28,Si,Si,Si,Si,S,S,S,I,I,S,S,I,I,1109.0773956315163,26.340662489488125
131,Li28Si4S20I4,28,Si,Si,Si,Si,S,S,S,I,I,S,S,I,I,1120.9402068715858,23.57027072324205
132,Li28Si4S20I4,28,Si,Si,Si,Si,S,S,I,I,I,S,S,S,I,1102.351562959848,27.913818216828602
133,Li28Si4S20I4,28,Si,Si,Si,Si,S,I,I,I,I,S,S,S,S,1109.3093043031133,17.0547797007061
134,Li28Si4Se20Cl4,28,Si,Si,Si,Si,Se,Se,Se,Se,Se,Cl,Cl,Cl,Cl,1192.199542342359,13.342363223879735
135,Li28Si4Se20Cl4,28,Si,Si,Si,Si,Se,Se,Se,Se,Cl,Se,Cl,Cl,Cl,1196.0856097493056,64.30656625969041
136,Li28Si4Se20Cl4,28,Si,Si,Si,Si,Se,Se,Se,Cl,Cl,Se,Se,Cl,Cl,1219.743892193116,235.59106673320798
137,Li28Si4Se20Cl4,28,Si,Si,Si,Si,Se,Se,Se,Cl,Cl,Se,Se,Cl,Cl,1216.1321431980132,173.53401440024123
138,Li28Si4Se20Cl4,28,Si,Si,Si,Si,Se,Se,Cl,Cl,Cl,Se,Se,Se,Cl,1220.7395893610726,121.94183561008136
139,Li28Si4Se20Cl4,28,Si,Si,Si,Si,Se,Cl,Cl,Cl,Cl,Se,Se,Se,Se,1211.4093410719922,75.64529772623895
140,Li28Si4Te20I4,28,Si,Si,Si,Si,Te,Te,Te,Te,Te,I,I,I,I,1588.4611039077652,122.00651132971107
141,Li28Si4Te20I4,28,Si,Si,Si,Si,Te,Te,Te,Te,I,Te,I,I,I,1560.4388662889337,199.04294015114704
142,Li28Si4Te20I4,28,Si,Si,Si,Si,Te,Te,Te,I,I,Te,Te,I,I,1554.6840230200676,84.14514360488364
143,Li28Si4Te20I4,28,Si,Si,Si,Si,Te,Te,Te,I,I,Te,Te,I,I,1613.1192090786574,244.88723118007908
144,Li28Si4Te20I4,28,Si,Si,Si,Si,Te,Te,I,I,I,Te,Te,Te,I,1580.486540985362,214.40707920385108
145,Li28Si4Te20I4,28,Si,Si,Si,Si,Te,I,I,I,I,Te,Te,Te,Te,1612.7265151862896,43.37864992184407
146,Li28Sn4S20Br4,28,Sn,Sn,Sn,Sn,S,S,S,S,S,Br,Br,Br,Br,1168.4870073164689,46.272835313585404
147,Li28Sn4S20Br4,28,Sn,Sn,Sn,Sn,S,S,S,S,Br,S,Br,Br,Br,1171.409925896877,24.889386958027053
